left,right
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1609,1644
1289,1323
1041,1041
1096,1126
1159,1232
1131,1169
1133,1077
700,666
835,624
1047,989
963,911
823,809
819,912
748,910
838,828
793,815
933,861
884,922
710,831
963,915
840,924
824,879
917,864
978,785
909,818
939,834
808,917
828,889
1394,681
1353,949
1201,870
1428,994
1113,1343
891,992
883,1279
429,593
510,467
1496,1123
1381,1619
748,1026
794,809
806,902
766,867
903,910
893,885
886,861
795,835
825,893
900,856
829,900
850,993
979,822
881,958
958,900
809,861
872,957
855,979
882,876
781,835
952,938
713,834
832,872
853,894
875,828
913,930
971,878
830,836
888,917
890,907
878,894
898,880
851,905
546,692
466,573
423,518
375,497
313,356
47,4
71,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
